time,rho
0,0.50648125
100,0.4841125
200,0.44660625
300,0.4056625
400,0.365875
500,0.32726875
600,0.2922625
700,0.26246875
800,0.23580625
900,0.21318125
1000,0.19335
1100,0.17591875
1200,0.161225
1300,0.1492875
1400,0.139675
1500,0.131075
1600,0.12345625
1700,0.1178375
1800,0.11350625
1900,0.10910625
2000,0.1058875
2100,0.10325625
2200,0.100375
2300,0.0983875
2400,0.0956375
2500,0.09354375
2600,0.090975
2700,0.09024375
2800,0.0886125
2900,0.087275
3000,0.08701875
3100,0.0869375
3200,0.08718125
3300,0.08716875
3400,0.08756875
3500,0.08718125
3600,0.08746875
3700,0.0870125
3800,0.08628125
3900,0.08595
4000,0.085825
4100,0.08581875
4200,0.08521875
4300,0.08533125
4400,0.0844375
4500,0.08434375
4600,0.0846375
4700,0.08493125
4800,0.08405
4900,0.08334375
5000,0.0823625
5100,0.08161875
5200,0.0820125
5300,0.08186875
5400,0.08106875
5500,0.0803875
5600,0.07994375
5700,0.0801875
5800,0.07955
5900,0.07945625
6000,0.07808125
6100,0.07710625
6200,0.0766875
6300,0.07683125
6400,0.07615
6500,0.07498125
6600,0.07468125
6700,0.07460625
6800,0.0736125
6900,0.0731625
7000,0.07283125
7100,0.07238125
7200,0.07274375
7300,0.07225
7400,0.07141875
7500,0.0717375
7600,0.0721
7700,0.072175
7800,0.072025
7900,0.0707625
8000,0.07084375
8100,0.06985
8200,0.06981875
8300,0.069475
8400,0.06925625
8500,0.06939375
8600,0.06871875
8700,0.06778125
8800,0.067375
8900,0.06778125
9000,0.06610625
9100,0.06568125
9200,0.065725
9300,0.0654375
9400,0.06469375
9500,0.06444375
9600,0.06485
9700,0.06485625
9800,0.06533125
9900,0.06503125
10000,0.06526875
10100,0.0652125
10200,0.0655625
10300,0.0651375
10400,0.0649125
10500,0.06525
10600,0.0646375
10700,0.064325
10800,0.0639125
10900,0.063275
11000,0.0628625
11100,0.06251875
11200,0.0623
11300,0.06238125
11400,0.061175
11500,0.06105
11600,0.06146875
11700,0.06156875
11800,0.061925
11900,0.0623
12000,0.0616625
12100,0.0613125
12200,0.06151875
12300,0.06125
12400,0.06155
12500,0.06215
12600,0.06265
12700,0.06265
12800,0.06255
12900,0.06268125
13000,0.062525
13100,0.061925
13200,0.06194375
13300,0.0615625
13400,0.061175
13500,0.0612125
13600,0.06111875
13700,0.0605125
13800,0.05955
13900,0.05936875
14000,0.0598875
14100,0.05991875
14200,0.05991875
14300,0.05970625
14400,0.0598
14500,0.05951875
14600,0.05973125
14700,0.05965625
14800,0.0594125
14900,0.05889375
15000,0.05875625
15100,0.05915
15200,0.0584875
15300,0.05840625
15400,0.0581625
15500,0.0582625
15600,0.05843125
15700,0.05844375
15800,0.05891875
15900,0.05849375
16000,0.05895
16100,0.05841875
16200,0.058175
16300,0.05709375
16400,0.056625
16500,0.0561
16600,0.0555375
16700,0.0558625
16800,0.05543125
16900,0.05596875
17000,0.055425
17100,0.05589375
17200,0.05625
17300,0.05648125
17400,0.0561875
17500,0.05649375
17600,0.05620625
17700,0.05551875
17800,0.0550375
17900,0.0551625
18000,0.05491875
18100,0.05409375
18200,0.05365625
18300,0.05333125
18400,0.05308125
18500,0.053475
18600,0.05403125
18700,0.05363125
18800,0.0535125
18900,0.053625
19000,0.05375625
19100,0.05359375
19200,0.05383125
19300,0.05299375
19400,0.05248125
19500,0.05236875
19600,0.0524875
