time,rho
0,0.45335
100,0.404925
200,0.356925
300,0.315275
400,0.278725
500,0.24655
600,0.2226
700,0.2019
800,0.184725
900,0.1692
1000,0.156825
1100,0.1441
1200,0.136825
1300,0.1319
1400,0.126675
1500,0.12225
1600,0.1167
1700,0.11385
1800,0.11235
1900,0.110975
2000,0.110125
2100,0.1102
2200,0.10945
2300,0.108175
2400,0.1074
2500,0.106
2600,0.104
2700,0.104475
2800,0.1022
2900,0.102175
3000,0.101325
3100,0.10125
3200,0.0994
3300,0.101675
3400,0.10255
3500,0.103025
3600,0.102475
3700,0.101275
3800,0.102025
3900,0.10215
4000,0.1018
4100,0.101275
4200,0.098225
4300,0.098325
4400,0.09805
4500,0.09835
4600,0.0984
4700,0.098175
4800,0.097825
4900,0.10025
5000,0.09925
5100,0.099275
5200,0.09955
5300,0.10025
5400,0.10205
5500,0.1019
5600,0.101175
5700,0.10055
5800,0.100625
5900,0.0989
6000,0.098775
6100,0.0971
6200,0.098575
6300,0.098875
6400,0.09775
6500,0.0965
6600,0.09635
6700,0.0944
6800,0.095275
6900,0.095425
7000,0.09645
7100,0.095925
7200,0.09675
7300,0.09615
7400,0.097475
7500,0.098275
7600,0.097875
7700,0.09905
7800,0.097725
7900,0.09745
8000,0.099825
8100,0.1006
8200,0.10005
8300,0.09885
8400,0.098425
8500,0.096225
8600,0.097175
8700,0.098675
8800,0.09695
8900,0.097025
9000,0.098
9100,0.09865
9200,0.09725
9300,0.096425
9400,0.096075
9500,0.0972
9600,0.0958
9700,0.09585
9800,0.09555
9900,0.0947
10000,0.09585
10100,0.094775
10200,0.094675
10300,0.093525
10400,0.093425
10500,0.093875
10600,0.093725
10700,0.0966
10800,0.0975
10900,0.097925
11000,0.0978
11100,0.0942
11200,0.0936
11300,0.094275
11400,0.09465
11500,0.09615
11600,0.0963
11700,0.0937
11800,0.093575
11900,0.09305
12000,0.092575
12100,0.092575
12200,0.091625
12300,0.091025
12400,0.092325
12500,0.09185
12600,0.091875
12700,0.090775
12800,0.0907
12900,0.0907
13000,0.089975
13100,0.0878
13200,0.08785
13300,0.0863
13400,0.086375
13500,0.08665
13600,0.087675
13700,0.08885
13800,0.089025
13900,0.089075
14000,0.08925
14100,0.08705
14200,0.0882
14300,0.088325
14400,0.087875
14500,0.086175
14600,0.088725
14700,0.090025
14800,0.0905
14900,0.0885
15000,0.088075
15100,0.091975
15200,0.09165
15300,0.090775
15400,0.091925
15500,0.0924
15600,0.0934
15700,0.09205
15800,0.0923
15900,0.0935
16000,0.093525
16100,0.09225
16200,0.091125
16300,0.09185
16400,0.091725
16500,0.0937
16600,0.09425
16700,0.0951
16800,0.0954
16900,0.095225
17000,0.09465
17100,0.0944
17200,0.095925
17300,0.09555
17400,0.094325
17500,0.094025
17600,0.093625
17700,0.0929
17800,0.09245
17900,0.09155
18000,0.09275
18100,0.091975
18200,0.090475
18300,0.089975
18400,0.08945
18500,0.090075
18600,0.089075
18700,0.08915
18800,0.089375
18900,0.09135
19000,0.0912
19100,0.093
19200,0.0944
19300,0.094475
19400,0.095175
19500,0.094775
19600,0.092125
19700,0.092
19800,0.09145
19900,0.0916
20000,0.09135
20100,0.09085
20200,0.09075
20300,0.090525
20400,0.090725
20500,0.0914
20600,0.09205
20700,0.095175
20800,0.0955
20900,0.096375
21000,0.098225
21100,0.096975
21200,0.098725
21300,0.098825
21400,0.10165
21500,0.099375
21600,0.095225
21700,0.0937
21800,0.095275
21900,0.0944
22000,0.09515
22100,0.09545
22200,0.096625
22300,0.0969
22400,0.09605
22500,0.096575
22600,0.095425
22700,0.0942
22800,0.094675
22900,0.09455
23000,0.094675
23100,0.094325
23200,0.09425
23300,0.0937
23400,0.094625
23500,0.09585
23600,0.095975
23700,0.09625
23800,0.094275
23900,0.0944
24000,0.093475
24100,0.093
24200,0.091675
24300,0.091625
24400,0.091225
24500,0.090975
24600,0.090725
24700,0.088325
24800,0.08905
24900,0.09025
25000,0.09025
25100,0.091825
25200,0.092375
25300,0.092925
25400,0.091975
25500,0.09315
25600,0.094275
25700,0.094825
25800,0.093525
25900,0.092675
26000,0.091825
26100,0.0918
26200,0.092325
26300,0.092275
26400,0.093625
26500,0.0927
26600,0.09165
26700,0.0926
26800,0.092875
26900,0.090875
27000,0.090975
27100,0.0899
27200,0.092025
27300,0.093275
27400,0.091875
27500,0.092275
27600,0.09285
27700,0.093675
27800,0.09305
27900,0.094875
28000,0.095725
28100,0.096125
28200,0.095425
28300,0.09345
28400,0.094725
28500,0.094325
28600,0.094025
28700,0.094075
28800,0.093925
28900,0.0932
29000,0.094175
29100,0.094225
29200,0.09525
29300,0.0958
29400,0.0961
29500,0.0965
29600,0.095175
29700,0.0945
29800,0.091925
29900,0.09355
30000,0.09365
30100,0.09365
30200,0.093825
30300,0.093725
30400,0.093
30500,0.09355
30600,0.09545
30700,0.09645
30800,0.096725
30900,0.09675
31000,0.099125
31100,0.098775
31200,0.0973
31300,0.096725
31400,0.096225
31500,0.0952
31600,0.0948
31700,0.0965
31800,0.095575
31900,0.097325
32000,0.094975
32100,0.095075
32200,0.093625
32300,0.0946
32400,0.096
32500,0.09415
32600,0.09435
32700,0.093525
32800,0.0924
32900,0.0921
33000,0.091925
33100,0.091775
33200,0.091375
33300,0.09175
33400,0.092475
33500,0.092025
33600,0.092025
33700,0.092175
33800,0.091275
33900,0.091175
34000,0.091025
34100,0.092325
34200,0.09025
34300,0.089575
34400,0.08955
34500,0.089175
34600,0.088575
34700,0.0889
34800,0.089625
34900,0.089925
35000,0.0901
35100,0.0888
35200,0.089575
35300,0.08975
35400,0.09075
35500,0.0904
35600,0.090625
35700,0.09265
35800,0.093875
35900,0.093525
36000,0.093375
36100,0.094225
36200,0.0924
36300,0.090875
36400,0.089775
36500,0.086975
36600,0.0875
36700,0.088475
36800,0.08805
36900,0.089775
37000,0.089125
37100,0.08895
37200,0.088775
37300,0.089275
37400,0.088475
37500,0.086725
37600,0.086775
37700,0.086775
37800,0.085375
37900,0.0854
38000,0.084925
38100,0.08545
38200,0.086525
38300,0.08725
38400,0.08655
38500,0.08705
38600,0.08775
38700,0.087275
38800,0.08825
38900,0.086025
39000,0.08595
39100,0.086025
39200,0.08645
39300,0.086175
39400,0.0851
39500,0.085475
39600,0.0847
39700,0.0863
39800,0.085025
39900,0.08395
40000,0.083625
40100,0.083175
40200,0.0831
40300,0.08135
40400,0.079925
40500,0.07955
40600,0.082675
40700,0.083125
40800,0.08335
40900,0.08425
41000,0.08485
41100,0.087725
41200,0.08955
41300,0.08875
41400,0.090075
41500,0.087675
41600,0.086725
41700,0.0879
41800,0.086425
41900,0.084575
42000,0.0856
42100,0.0863
42200,0.085625
42300,0.08585
42400,0.08815
42500,0.088425
42600,0.087375
42700,0.0892
42800,0.089225
42900,0.088875
43000,0.088425
43100,0.088925
43200,0.08895
43300,0.0894
43400,0.091875
43500,0.092475
43600,0.091225
43700,0.093625
43800,0.093225
43900,0.092375
44000,0.092075
44100,0.09065
44200,0.090825
44300,0.09145
44400,0.093525
44500,0.09095
