time,rho
0,0.4559
100,0.4028
200,0.3585
300,0.3148
400,0.2753
500,0.2484
600,0.2206
700,0.1976
800,0.1765
900,0.1616
1000,0.1471
1100,0.1345
1200,0.1269
1300,0.1195
1400,0.12
1500,0.1145
1600,0.1101
1700,0.1045
1800,0.1009
1900,0.0956
2000,0.0947
2100,0.0908
2200,0.0895
2300,0.0897
2400,0.0876
2500,0.0887
2600,0.0891
2700,0.0864
2800,0.0848
2900,0.0844
3000,0.0843
3100,0.0851
3200,0.086
3300,0.0848
3400,0.0822
3500,0.0823
3600,0.0796
3700,0.0827
3800,0.0847
3900,0.085
4000,0.0847
4100,0.0825
4200,0.0818
4300,0.0784
4400,0.0783
4500,0.0761
4600,0.0751
4700,0.0748
4800,0.0732
4900,0.0736
5000,0.0698
5100,0.0682
5200,0.068
5300,0.0689
5400,0.0703
5500,0.0706
5600,0.0717
5700,0.0725
5800,0.0723
5900,0.0744
6000,0.0738
6100,0.0732
6200,0.0744
6300,0.0736
6400,0.0725
6500,0.0685
6600,0.0718
6700,0.0731
6800,0.068
6900,0.066
7000,0.0665
7100,0.0681
7200,0.0676
7300,0.0639
7400,0.0647
7500,0.0622
7600,0.0587
7700,0.0602
7800,0.0605
7900,0.061
8000,0.0625
8100,0.0596
8200,0.0633
8300,0.0616
8400,0.0614
8500,0.0638
8600,0.0628
8700,0.0648
8800,0.0645
8900,0.0649
9000,0.0639
9100,0.062
9200,0.0594
9300,0.0584
9400,0.0587
9500,0.0554
9600,0.0549
9700,0.0564
9800,0.0525
9900,0.054
10000,0.0555
10100,0.0544
10200,0.0568
10300,0.0587
10400,0.0596
10500,0.0584
10600,0.0603
10700,0.0622
10800,0.0614
10900,0.0611
11000,0.0626
11100,0.0625
11200,0.0613
11300,0.0611
11400,0.0607
11500,0.0608
11600,0.066
11700,0.0655
11800,0.0649
11900,0.0636
12000,0.0628
12100,0.0626
12200,0.0629
12300,0.0632
12400,0.0605
12500,0.0563
12600,0.0547
12700,0.0526
12800,0.0513
12900,0.052
13000,0.0514
13100,0.0489
13200,0.0477
13300,0.0475
13400,0.0464
13500,0.0471
13600,0.0453
13700,0.045
13800,0.0447
13900,0.0446
14000,0.0428
14100,0.0419
14200,0.0428
14300,0.0432
14400,0.0441
14500,0.043
14600,0.0419
14700,0.0427
14800,0.0414
14900,0.0401
15000,0.0391
15100,0.0379
15200,0.0373
15300,0.036
15400,0.0382
15500,0.0388
15600,0.0367
15700,0.0375
15800,0.0372
15900,0.0354
16000,0.0376
16100,0.0356
16200,0.0362
16300,0.0372
16400,0.0375
16500,0.0387
16600,0.0369
16700,0.0372
16800,0.0367
16900,0.0359
17000,0.0361
17100,0.0355
17200,0.0351
17300,0.0355
17400,0.0372
17500,0.0378
17600,0.0379
17700,0.0393
17800,0.0402
17900,0.0422
18000,0.0436
18100,0.0424
18200,0.0431
18300,0.0411
18400,0.0388
18500,0.0399
18600,0.0422
18700,0.0402
18800,0.0403
18900,0.0396
19000,0.0425
19100,0.0416
19200,0.0394
19300,0.039
19400,0.0398
19500,0.0396
19600,0.0352
19700,0.0355
19800,0.0353
19900,0.0364
20000,0.0332
20100,0.0316
20200,0.0298
20300,0.0287
20400,0.0276
20500,0.0252
20600,0.0257
20700,0.0242
20800,0.0245
20900,0.0239
21000,0.0256
21100,0.0265
21200,0.0276
21300,0.03
21400,0.0295
21500,0.0316
21600,0.0315
21700,0.0299
21800,0.0303
21900,0.0307
22000,0.0299
22100,0.0325
22200,0.0312
22300,0.031
22400,0.0302
22500,0.0303
22600,0.0297
22700,0.0326
22800,0.032
22900,0.0325
23000,0.031
23100,0.0279
23200,0.0284
23300,0.028
23400,0.028
23500,0.0277
23600,0.0281
23700,0.0291
23800,0.0307
23900,0.0331
24000,0.0316
24100,0.0308
24200,0.0314
24300,0.0321
24400,0.0334
24500,0.0328
24600,0.0324
24700,0.0304
24800,0.03
24900,0.029
25000,0.031
25100,0.0322
25200,0.0326
25300,0.0342
25400,0.0295
25500,0.0291
25600,0.0292
25700,0.0263
25800,0.0254
25900,0.0258
26000,0.0239
26100,0.0228
26200,0.0226
26300,0.0233
26400,0.0237
26500,0.0225
26600,0.0215
26700,0.0236
26800,0.0256
26900,0.0265
27000,0.0251
27100,0.0244
27200,0.0239
27300,0.026
27400,0.0261
27500,0.0263
27600,0.0254
27700,0.0252
27800,0.0248
27900,0.0252
28000,0.0262
